# key,input,result,count
spruce_log_to_spruce_pressure_plate,spruce_log,spruce_pressure_plate,4
spruce_log_to_spruce_button,spruce_log,spruce_button,4
spruce_log_to_spruce_sign,spruce_log,spruce_sign,4
spruce_wood_to_spruce_planks,spruce_wood,spruce_planks,4
spruce_wood_to_stick,spruce_wood,stick,8
spruce_wood_to_spruce_stairs,spruce_wood,spruce_stairs,4
spruce_wood_to_spruce_slab,spruce_wood,spruce_slab,8
spruce_wood_to_spruce_fence,spruce_wood,spruce_fence,4
spruce_wood_to_spruce_fence_gate,spruce_wood,spruce_fence_gate,4
spruce_wood_to_spruce_door,spruce_wood,spruce_door,4
spruce_wood_to_spruce_trapdoor,spruce_wood,spruce_trapdoor,4
spruce_wood_to_spruce_pressure_plate,spruce_wood,spruce_pressure_plate,4
spruce_wood_to_spruce_button,spruce_wood,spruce_button,4
spruce_wood_to_spruce_sign,spruce_wood,spruce_sign,4
stripped_spruce_log_to_spruce_planks,stripped_spruce_log,spruce_planks,4
stripped_spruce_log_to_stick,stripped_spruce_log,stick,8
stripped_spruce_log_to_spruce_stairs,stripped_spruce_log,spruce_stairs,4
stripped_spruce_log_to_spruce_slab,stripped_spruce_log,spruce_slab,8
stripped_spruce_log_to_spruce_fence,stripped_spruce_log,spruce_fence,4
stripped_spruce_log_to_spruce_fence_gate,stripped_spruce_log,spruce_fence_gate,4
stripped_spruce_log_to_spruce_door,stripped_spruce_log,spruce_door,4
stripped_spruce_log_to_spruce_trapdoor,stripped_spruce_log,spruce_trapdoor,4
stripped_spruce_log_to_spruce_pressure_plate,stripped_spruce_log,spruce_pressure_plate,4
stripped_spruce_log_to_spruce_button,stripped_spruce_log,spruce_button,4
stripped_spruce_log_to_spruce_sign,stripped_spruce_log,spruce_sign,4
stripped_spruce_wood_to_spruce_planks,stripped_spruce_wood,spruce_planks,4
stripped_spruce_wood_to_stick,stripped_spruce_wood,stick,8
stripped_spruce_wood_to_spruce_stairs,stripped_spruce_wood,spruce_stairs,4
stripped_spruce_wood_to_spruce_slab,stripped_spruce_wood,spruce_slab,8
stripped_spruce_wood_to_spruce_fence,stripped_spruce_wood,spruce_fence,4
stripped_spruce_wood_to_spruce_fence_gate,stripped_spruce_wood,spruce_fence_gate,4
stripped_spruce_wood_to_spruce_door,stripped_spruce_wood,spruce_door,4
stripped_spruce_wood_to_spruce_trapdoor,stripped_spruce_wood,spruce_trapdoor,4
stripped_spruce_wood_to_spruce_pressure_plate,stripped_spruce_wood,spruce_pressure_plate,4
stripped_spruce_wood_to_spruce_button,stripped_spruce_wood,spruce_button,4
stripped_spruce_wood_to_spruce_sign,stripped_spruce_wood,spruce_sign,4
birch_planks_to_stick,birch_planks,stick,2
birch_planks_to_birch_stairs,birch_planks,birch_stairs,1
birch_planks_to_birch_slab,birch_planks,birch_slab,2
birch_planks_to_birch_fence,birch_planks,birch_fence,1
birch_planks_to_birch_fence_gate,birch_planks,birch_fence_gate,1
birch_planks_to_birch_door,birch_planks,birch_door,1
birch_planks_to_birch_trapdoor,birch_planks,birch_trapdoor,1
birch_planks_to_birch_pressure_plate,birch_planks,birch_pressure_plate,1
birch_planks_to_birch_button,birch_planks,birch_button,1
birch_planks_to_birch_sign,birch_planks,birch_sign,1
birch_log_to_birch_planks,birch_log,birch_planks,4
birch_log_to_stick,birch_log,stick,8
birch_log_to_birch_stairs,birch_log,birch_stairs,4
birch_log_to_birch_slab,birch_log,birch_slab,8
birch_log_to_birch_fence,birch_log,birch_fence,4
birch_log_to_birch_fence_gate,birch_log,birch_fence_gate,4
birch_log_to_birch_door,birch_log,birch_door,4
birch_log_to_birch_trapdoor,birch_log,birch_trapdoor,4
birch_log_to_birch_pressure_plate,birch_log,birch_pressure_plate,4
birch_log_to_birch_button,birch_log,birch_button,4
birch_log_to_birch_sign,birch_log,birch_sign,4
birch_wood_to_birch_planks,birch_wood,birch_planks,4
birch_wood_to_stick,birch_wood,stick,8
birch_wood_to_birch_stairs,birch_wood,birch_stairs,4
birch_wood_to_birch_slab,birch_wood,birch_slab,8
birch_wood_to_birch_fence,birch_wood,birch_fence,4
birch_wood_to_birch_fence_gate,birch_wood,birch_fence_gate,4
birch_wood_to_birch_door,birch_wood,birch_door,4
birch_wood_to_birch_trapdoor,birch_wood,birch_trapdoor,4
birch_wood_to_birch_pressure_plate,birch_wood,birch_pressure_plate,4
birch_wood_to_birch_button,birch_wood,birch_button,4
birch_wood_to_birch_sign,birch_wood,birch_sign,4
stripped_birch_log_to_birch_planks,stripped_birch_log,birch_planks,4
stripped_birch_log_to_stick,stripped_birch_log,stick,8
stripped_birch_log_to_birch_stairs,stripped_birch_log,birch_stairs,4
stripped_birch_log_to_birch_slab,stripped_birch_log,birch_slab,8
stripped_birch_log_to_birch_fence,stripped_birch_log,birch_fence,4
stripped_birch_log_to_birch_fence_gate,stripped_birch_log,birch_fence_gate,4
stripped_birch_log_to_birch_door,stripped_birch_log,birch_door,4
stripped_birch_log_to_birch_trapdoor,stripped_birch_log,birch_trapdoor,4
stripped_birch_log_to_birch_pressure_plate,stripped_birch_log,birch_pressure_plate,4
stripped_birch_log_to_birch_button,stripped_birch_log,birch_button,4
stripped_birch_log_to_birch_sign,stripped_birch_log,birch_sign,4
stripped_birch_wood_to_birch_planks,stripped_birch_wood,birch_planks,4
stripped_birch_wood_to_stick,stripped_birch_wood,stick,8
stripped_birch_wood_to_birch_stairs,stripped_birch_wood,birch_stairs,4
stripped_birch_wood_to_birch_slab,stripped_birch_wood,birch_slab,8
stripped_birch_wood_to_birch_fence,stripped_birch_wood,birch_fence,4
stripped_birch_wood_to_birch_fence_gate,stripped_birch_wood,birch_fence_gate,4
stripped_birch_wood_to_birch_door,stripped_birch_wood,birch_door,4
stripped_birch_wood_to_birch_trapdoor,stripped_birch_wood,birch_trapdoor,4
stripped_birch_wood_to_birch_pressure_plate,stripped_birch_wood,birch_pressure_plate,4
stripped_birch_wood_to_birch_button,stripped_birch_wood,birch_button,4
stripped_birch_wood_to_birch_sign,stripped_birch_wood,birch_sign,4
jungle_planks_to_stick,jungle_planks,stick,2
jungle_planks_to_jungle_stairs,jungle_planks,jungle_stairs,1
jungle_planks_to_jungle_slab,jungle_planks,jungle_slab,2
jungle_planks_to_jungle_fence,jungle_planks,jungle_fence,1
jungle_planks_to_jungle_fence_gate,jungle_planks,jungle_fence_gate,1
jungle_planks_to_jungle_door,jungle_planks,jungle_door,1
jungle_planks_to_jungle_trapdoor,jungle_planks,jungle_trapdoor,1
jungle_planks_to_jungle_pressure_plate,jungle_planks,jungle_pressure_plate,1
jungle_planks_to_jungle_button,jungle_planks,jungle_button,1
jungle_planks_to_jungle_sign,jungle_planks,jungle_sign,1
jungle_log_to_jungle_planks,jungle_log,jungle_planks,4
jungle_log_to_stick,jungle_log,stick,8
jungle_log_to_jungle_stairs,jungle_log,jungle_stairs,4
jungle_log_to_jungle_slab,jungle_log,jungle_slab,8
jungle_log_to_jungle_fence,jungle_log,jungle_fence,4
jungle_log_to_jungle_fence_gate,jungle_log,jungle_fence_gate,4
jungle_log_to_jungle_door,jungle_log,jungle_door,4
jungle_log_to_jungle_trapdoor,jungle_log,jungle_trapdoor,4
jungle_log_to_jungle_pressure_plate,jungle_log,jungle_pressure_plate,4
jungle_log_to_jungle_button,jungle_log,jungle_button,4
jungle_log_to_jungle_sign,jungle_log,jungle_sign,4
jungle_wood_to_jungle_planks,jungle_wood,jungle_planks,4
jungle_wood_to_stick,jungle_wood,stick,8
jungle_wood_to_jungle_stairs,jungle_wood,jungle_stairs,4
jungle_wood_to_jungle_slab,jungle_wood,jungle_slab,8
jungle_wood_to_jungle_fence,jungle_wood,jungle_fence,4
jungle_wood_to_jungle_fence_gate,jungle_wood,jungle_fence_gate,4
jungle_wood_to_jungle_door,jungle_wood,jungle_door,4
jungle_wood_to_jungle_trapdoor,jungle_wood,jungle_trapdoor,4
jungle_wood_to_jungle_pressure_plate,jungle_wood,jungle_pressure_plate,4
jungle_wood_to_jungle_button,jungle_wood,jungle_button,4
jungle_wood_to_jungle_sign,jungle_wood,jungle_sign,4
stripped_jungle_log_to_jungle_planks,stripped_jungle_log,jungle_planks,4
stripped_jungle_log_to_stick,stripped_jungle_log,stick,8
stripped_jungle_log_to_jungle_stairs,stripped_jungle_log,jungle_stairs,4
stripped_jungle_log_to_jungle_slab,stripped_jungle_log,jungle_slab,8
stripped_jungle_log_to_jungle_fence,stripped_jungle_log,jungle_fence,4
stripped_jungle_log_to_jungle_fence_gate,stripped_jungle_log,jungle_fence_gate,4
stripped_jungle_log_to_jungle_door,stripped_jungle_log,jungle_door,4
stripped_jungle_log_to_jungle_trapdoor,stripped_jungle_log,jungle_trapdoor,4
stripped_jungle_log_to_jungle_pressure_plate,stripped_jungle_log,jungle_pressure_plate,4
stripped_jungle_log_to_jungle_button,stripped_jungle_log,jungle_button,4
stripped_jungle_log_to_jungle_sign,stripped_jungle_log,jungle_sign,4
stripped_jungle_wood_to_jungle_planks,stripped_jungle_wood,jungle_planks,4
stripped_jungle_wood_to_stick,stripped_jungle_wood,stick,8
stripped_jungle_wood_to_jungle_stairs,stripped_jungle_wood,jungle_stairs,4
stripped_jungle_wood_to_jungle_slab,stripped_jungle_wood,jungle_slab,8
stripped_jungle_wood_to_jungle_fence,stripped_jungle_wood,jungle_fence,4
stripped_jungle_wood_to_jungle_fence_gate,stripped_jungle_wood,jungle_fence_gate,4
stripped_jungle_wood_to_jungle_door,stripped_jungle_wood,jungle_door,4
stripped_jungle_wood_to_jungle_trapdoor,stripped_jungle_wood,jungle_trapdoor,4
stripped_jungle_wood_to_jungle_pressure_plate,stripped_jungle_wood,jungle_pressure_plate,4
stripped_jungle_wood_to_jungle_button,stripped_jungle_wood,jungle_button,4
stripped_jungle_wood_to_jungle_sign,stripped_jungle_wood,jungle_sign,4
acacia_planks_to_stick,acacia_planks,stick,2
acacia_planks_to_acacia_stairs,acacia_planks,acacia_stairs,1
acacia_planks_to_acacia_slab,acacia_planks,acacia_slab,2
acacia_planks_to_acacia_fence,acacia_planks,acacia_fence,1
acacia_planks_to_acacia_fence_gate,acacia_planks,acacia_fence_gate,1
acacia_planks_to_acacia_door,acacia_planks,acacia_door,1
acacia_planks_to_acacia_trapdoor,acacia_planks,acacia_trapdoor,1
acacia_planks_to_acacia_pressure_plate,acacia_planks,acacia_pressure_plate,1
acacia_planks_to_acacia_button,acacia_planks,acacia_button,1
acacia_planks_to_acacia_sign,acacia_planks,acacia_sign,1
acacia_log_to_acacia_planks,acacia_log,acacia_planks,4
acacia_log_to_stick,acacia_log,stick,8
acacia_log_to_acacia_stairs,acacia_log,acacia_stairs,4
acacia_log_to_acacia_slab,acacia_log,acacia_slab,8
acacia_log_to_acacia_fence,acacia_log,acacia_fence,4
acacia_log_to_acacia_fence_gate,acacia_log,acacia_fence_gate,4
acacia_log_to_acacia_door,acacia_log,acacia_door,4
acacia_log_to_acacia_trapdoor,acacia_log,acacia_trapdoor,4
acacia_log_to_acacia_pressure_plate,acacia_log,acacia_pressure_plate,4
acacia_log_to_acacia_button,acacia_log,acacia_button,4
acacia_log_to_acacia_sign,acacia_log,acacia_sign,4
acacia_wood_to_acacia_planks,acacia_wood,acacia_planks,4
acacia_wood_to_stick,acacia_wood,stick,8
acacia_wood_to_acacia_stairs,acacia_wood,acacia_stairs,4
acacia_wood_to_acacia_slab,acacia_wood,acacia_slab,8
acacia_wood_to_acacia_fence,acacia_wood,acacia_fence,4
acacia_wood_to_acacia_fence_gate,acacia_wood,acacia_fence_gate,4
acacia_wood_to_acacia_door,acacia_wood,acacia_door,4
acacia_wood_to_acacia_trapdoor,acacia_wood,acacia_trapdoor,4
acacia_wood_to_acacia_pressure_plate,acacia_wood,acacia_pressure_plate,4
acacia_wood_to_acacia_button,acacia_wood,acacia_button,4
acacia_wood_to_acacia_sign,acacia_wood,acacia_sign,4
stripped_acacia_log_to_acacia_planks,stripped_acacia_log,acacia_planks,4
stripped_acacia_log_to_stick,stripped_acacia_log,stick,8
stripped_acacia_log_to_acacia_stairs,stripped_acacia_log,acacia_stairs,4
stripped_acacia_log_to_acacia_slab,stripped_acacia_log,acacia_slab,8
stripped_acacia_log_to_acacia_fence,stripped_acacia_log,acacia_fence,4
stripped_acacia_log_to_acacia_fence_gate,stripped_acacia_log,acacia_fence_gate,4
stripped_acacia_log_to_acacia_door,stripped_acacia_log,acacia_door,4
stripped_acacia_log_to_acacia_trapdoor,stripped_acacia_log,acacia_trapdoor,4
stripped_acacia_log_to_acacia_pressure_plate,stripped_acacia_log,acacia_pressure_plate,4
stripped_acacia_log_to_acacia_button,stripped_acacia_log,acacia_button,4
stripped_acacia_log_to_acacia_sign,stripped_acacia_log,acacia_sign,4
stripped_acacia_wood_to_acacia_planks,stripped_acacia_wood,acacia_planks,4
stripped_acacia_wood_to_stick,stripped_acacia_wood,stick,8
stripped_acacia_wood_to_acacia_stairs,stripped_acacia_wood,acacia_stairs,4
stripped_acacia_wood_to_acacia_slab,stripped_acacia_wood,acacia_slab,8
stripped_acacia_wood_to_acacia_fence,stripped_acacia_wood,acacia_fence,4
stripped_acacia_wood_to_acacia_fence_gate,stripped_acacia_wood,acacia_fence_gate,4
stripped_acacia_wood_to_acacia_door,stripped_acacia_wood,acacia_door,4
stripped_acacia_wood_to_acacia_trapdoor,stripped_acacia_wood,acacia_trapdoor,4
stripped_acacia_wood_to_acacia_pressure_plate,stripped_acacia_wood,acacia_pressure_plate,4
stripped_acacia_wood_to_acacia_button,stripped_acacia_wood,acacia_button,4
stripped_acacia_wood_to_acacia_sign,stripped_acacia_wood,acacia_sign,4
dark_oak_planks_to_stick,dark_oak_planks,stick,2
dark_oak_planks_to_dark_oak_stairs,dark_oak_planks,dark_oak_stairs,1
dark_oak_planks_to_dark_oak_slab,dark_oak_planks,dark_oak_slab,2
dark_oak_planks_to_dark_oak_fence,dark_oak_planks,dark_oak_fence,1
dark_oak_planks_to_dark_oak_fence_gate,dark_oak_planks,dark_oak_fence_gate,1
dark_oak_planks_to_dark_oak_door,dark_oak_planks,dark_oak_door,1
dark_oak_planks_to_dark_oak_trapdoor,dark_oak_planks,dark_oak_trapdoor,1
dark_oak_planks_to_dark_oak_pressure_plate,dark_oak_planks,dark_oak_pressure_plate,1
dark_oak_planks_to_dark_oak_button,dark_oak_planks,dark_oak_button,1
dark_oak_planks_to_dark_oak_sign,dark_oak_planks,dark_oak_sign,1
dark_oak_log_to_dark_oak_planks,dark_oak_log,dark_oak_planks,4
dark_oak_log_to_stick,dark_oak_log,stick,8
dark_oak_log_to_dark_oak_stairs,dark_oak_log,dark_oak_stairs,4
dark_oak_log_to_dark_oak_slab,dark_oak_log,dark_oak_slab,8
dark_oak_log_to_dark_oak_fence,dark_oak_log,dark_oak_fence,4
dark_oak_log_to_dark_oak_fence_gate,dark_oak_log,dark_oak_fence_gate,4
dark_oak_log_to_dark_oak_door,dark_oak_log,dark_oak_door,4
dark_oak_log_to_dark_oak_trapdoor,dark_oak_log,dark_oak_trapdoor,4
dark_oak_log_to_dark_oak_pressure_plate,dark_oak_log,dark_oak_pressure_plate,4
dark_oak_log_to_dark_oak_button,dark_oak_log,dark_oak_button,4
dark_oak_log_to_dark_oak_sign,dark_oak_log,dark_oak_sign,4
dark_oak_wood_to_dark_oak_planks,dark_oak_wood,dark_oak_planks,4
dark_oak_wood_to_stick,dark_oak_wood,stick,8
dark_oak_wood_to_dark_oak_stairs,dark_oak_wood,dark_oak_stairs,4
dark_oak_wood_to_dark_oak_slab,dark_oak_wood,dark_oak_slab,8
dark_oak_wood_to_dark_oak_fence,dark_oak_wood,dark_oak_fence,4
dark_oak_wood_to_dark_oak_fence_gate,dark_oak_wood,dark_oak_fence_gate,4
dark_oak_wood_to_dark_oak_door,dark_oak_wood,dark_oak_door,4
dark_oak_wood_to_dark_oak_trapdoor,dark_oak_wood,dark_oak_trapdoor,4
dark_oak_wood_to_dark_oak_pressure_plate,dark_oak_wood,dark_oak_pressure_plate,4
dark_oak_wood_to_dark_oak_button,dark_oak_wood,dark_oak_button,4
dark_oak_wood_to_dark_oak_sign,dark_oak_wood,dark_oak_sign,4
stripped_dark_oak_log_to_dark_oak_planks,stripped_dark_oak_log,dark_oak_planks,4
stripped_dark_oak_log_to_stick,stripped_dark_oak_log,stick,8
stripped_dark_oak_log_to_dark_oak_stairs,stripped_dark_oak_log,dark_oak_stairs,4
stripped_dark_oak_log_to_dark_oak_slab,stripped_dark_oak_log,dark_oak_slab,8
stripped_dark_oak_log_to_dark_oak_fence,stripped_dark_oak_log,dark_oak_fence,4
stripped_dark_oak_log_to_dark_oak_fence_gate,stripped_dark_oak_log,dark_oak_fence_gate,4
stripped_dark_oak_log_to_dark_oak_door,stripped_dark_oak_log,dark_oak_door,4
stripped_dark_oak_log_to_dark_oak_trapdoor,stripped_dark_oak_log,dark_oak_trapdoor,4
stripped_dark_oak_log_to_dark_oak_pressure_plate,stripped_dark_oak_log,dark_oak_pressure_plate,4
stripped_dark_oak_log_to_dark_oak_button,stripped_dark_oak_log,dark_oak_button,4
stripped_dark_oak_log_to_dark_oak_sign,stripped_dark_oak_log,dark_oak_sign,4
stripped_dark_oak_wood_to_dark_oak_planks,stripped_dark_oak_wood,dark_oak_planks,4
stripped_dark_oak_wood_to_stick,stripped_dark_oak_wood,stick,8
stripped_dark_oak_wood_to_dark_oak_stairs,stripped_dark_oak_wood,dark_oak_stairs,4
stripped_dark_oak_wood_to_dark_oak_slab,stripped_dark_oak_wood,dark_oak_slab,8
stripped_dark_oak_wood_to_dark_oak_fence,stripped_dark_oak_wood,dark_oak_fence,4
stripped_dark_oak_wood_to_dark_oak_fence_gate,stripped_dark_oak_wood,dark_oak_fence_gate,4
stripped_dark_oak_wood_to_dark_oak_door,stripped_dark_oak_wood,dark_oak_door,4
stripped_dark_oak_wood_to_dark_oak_trapdoor,stripped_dark_oak_wood,dark_oak_trapdoor,4
stripped_dark_oak_wood_to_dark_oak_pressure_plate,stripped_dark_oak_wood,dark_oak_pressure_plate,4
stripped_dark_oak_wood_to_dark_oak_button,stripped_dark_oak_wood,dark_oak_button,4
stripped_dark_oak_wood_to_dark_oak_sign,stripped_dark_oak_wood,dark_oak_sign,4
mangrove_planks_to_stick,mangrove_planks,stick,2
mangrove_planks_to_mangrove_stairs,mangrove_planks,mangrove_stairs,1
mangrove_planks_to_mangrove_slab,mangrove_planks,mangrove_slab,2
mangrove_planks_to_mangrove_fence,mangrove_planks,mangrove_fence,1
mangrove_planks_to_mangrove_fence_gate,mangrove_planks,mangrove_fence_gate,1
mangrove_planks_to_mangrove_door,mangrove_planks,mangrove_door,1
mangrove_planks_to_mangrove_trapdoor,mangrove_planks,mangrove_trapdoor,1
mangrove_planks_to_mangrove_pressure_plate,mangrove_planks,mangrove_pressure_plate,1
mangrove_planks_to_mangrove_button,mangrove_planks,mangrove_button,1
mangrove_planks_to_mangrove_sign,mangrove_planks,mangrove_sign,1
mangrove_log_to_mangrove_planks,mangrove_log,mangrove_planks,4
mangrove_log_to_stick,mangrove_log,stick,8
mangrove_log_to_mangrove_stairs,mangrove_log,mangrove_stairs,4
mangrove_log_to_mangrove_slab,mangrove_log,mangrove_slab,8
mangrove_log_to_mangrove_fence,mangrove_log,mangrove_fence,4
mangrove_log_to_mangrove_fence_gate,mangrove_log,mangrove_fence_gate,4
mangrove_log_to_mangrove_door,mangrove_log,mangrove_door,4
mangrove_log_to_mangrove_trapdoor,mangrove_log,mangrove_trapdoor,4
mangrove_log_to_mangrove_pressure_plate,mangrove_log,mangrove_pressure_plate,4
mangrove_log_to_mangrove_button,mangrove_log,mangrove_button,4
mangrove_log_to_mangrove_sign,mangrove_log,mangrove_sign,4
mangrove_wood_to_mangrove_planks,mangrove_wood,mangrove_planks,4
mangrove_wood_to_stick,mangrove_wood,stick,8
mangrove_wood_to_mangrove_stairs,mangrove_wood,mangrove_stairs,4
mangrove_wood_to_mangrove_slab,mangrove_wood,mangrove_slab,8
mangrove_wood_to_mangrove_fence,mangrove_wood,mangrove_fence,4
mangrove_wood_to_mangrove_fence_gate,mangrove_wood,mangrove_fence_gate,4
mangrove_wood_to_mangrove_door,mangrove_wood,mangrove_door,4
mangrove_wood_to_mangrove_trapdoor,mangrove_wood,mangrove_trapdoor,4
mangrove_wood_to_mangrove_pressure_plate,mangrove_wood,mangrove_pressure_plate,4
mangrove_wood_to_mangrove_button,mangrove_wood,mangrove_button,4
mangrove_wood_to_mangrove_sign,mangrove_wood,mangrove_sign,4
stripped_mangrove_log_to_mangrove_planks,stripped_mangrove_log,mangrove_planks,4
stripped_mangrove_log_to_stick,stripped_mangrove_log,stick,8
stripped_mangrove_log_to_mangrove_stairs,stripped_mangrove_log,mangrove_stairs,4
stripped_mangrove_log_to_mangrove_slab,stripped_mangrove_log,mangrove_slab,8
stripped_mangrove_log_to_mangrove_fence,stripped_mangrove_log,mangrove_fence,4
stripped_mangrove_log_to_mangrove_fence_gate,stripped_mangrove_log,mangrove_fence_gate,4
stripped_mangrove_log_to_mangrove_door,stripped_mangrove_log,mangrove_door,4
stripped_mangrove_log_to_mangrove_trapdoor,stripped_mangrove_log,mangrove_trapdoor,4
stripped_mangrove_log_to_mangrove_pressure_plate,stripped_mangrove_log,mangrove_pressure_plate,4
stripped_mangrove_log_to_mangrove_button,stripped_mangrove_log,mangrove_button,4
stripped_mangrove_log_to_mangrove_sign,stripped_mangrove_log,mangrove_sign,4
stripped_mangrove_wood_to_mangrove_planks,stripped_mangrove_wood,mangrove_planks,4
stripped_mangrove_wood_to_stick,stripped_mangrove_wood,stick,8
stripped_mangrove_wood_to_mangrove_stairs,stripped_mangrove_wood,mangrove_stairs,4
stripped_mangrove_wood_to_mangrove_slab,stripped_mangrove_wood,mangrove_slab,8
stripped_mangrove_wood_to_mangrove_fence,stripped_mangrove_wood,mangrove_fence,4
stripped_mangrove_wood_to_mangrove_fence_gate,stripped_mangrove_wood,mangrove_fence_gate,4
stripped_mangrove_wood_to_mangrove_door,stripped_mangrove_wood,mangrove_door,4
stripped_mangrove_wood_to_mangrove_trapdoor,stripped_mangrove_wood,mangrove_trapdoor,4
stripped_mangrove_wood_to_mangrove_pressure_plate,stripped_mangrove_wood,mangrove_pressure_plate,4
stripped_mangrove_wood_to_mangrove_button,stripped_mangrove_wood,mangrove_button,4
stripped_mangrove_wood_to_mangrove_sign,stripped_mangrove_wood,mangrove_sign,4
cherry_planks_to_stick,cherry_planks,stick,2
cherry_planks_to_cherry_stairs,cherry_planks,cherry_stairs,1
cherry_planks_to_cherry_slab,cherry_planks,cherry_slab,2
cherry_planks_to_cherry_fence,cherry_planks,cherry_fence,1
cherry_planks_to_cherry_fence_gate,cherry_planks,cherry_fence_gate,1
cherry_planks_to_cherry_door,cherry_planks,cherry_door,1
cherry_planks_to_cherry_trapdoor,cherry_planks,cherry_trapdoor,1
cherry_planks_to_cherry_pressure_plate,cherry_planks,cherry_pressure_plate,1
cherry_planks_to_cherry_button,cherry_planks,cherry_button,1
cherry_planks_to_cherry_sign,cherry_planks,cherry_sign,1
cherry_log_to_cherry_planks,cherry_log,cherry_planks,4
cherry_log_to_stick,cherry_log,stick,8
